ssid,bssid,index
ap-nttu,08:5b:0e:0f:c1:b3,0
ap-nttu,48:3a:02:00:ac:48,1
ap-nttu,48:3a:02:00:ac:50,2
ap-nttu,48:3a:02:00:b0:e8,3
ap-nttu,48:3a:02:01:2e:10,4
ap-nttu,48:3a:02:01:4e:30,5
ap-nttu,48:3a:02:13:df:d0,6
ap-nttu,48:3a:02:14:2b:50,7
ap-nttu,48:3a:02:14:2d:10,8
ap-nttu,48:3a:02:14:2f:d0,9
ap-nttu,48:3a:02:14:38:c8,10
ap-nttu,48:3a:02:14:3e:08,11
ap-nttu,48:3a:02:14:3e:10,12
ap-nttu,48:3a:02:14:76:10,13
ap-nttu,74:78:a6:00:e2:70,14
ap-nttu,74:78:a6:00:ef:30,15
ap-nttu,80:80:2c:34:db:58,16
ap-nttu,80:80:2c:34:e2:38,17
ap-nttu,80:80:2c:34:e2:f8,18
ap-nttu,80:80:2c:34:e7:f8,19
ap-nttu,80:80:2c:34:e8:58,20
ap-nttu,80:80:2c:34:e9:78,21
ap-nttu,80:80:2c:34:ea:78,22
ap-nttu,80:80:2c:34:eb:18,23
ap-nttu,80:80:2c:35:55:98,24
ap-nttu,80:80:2c:35:55:b8,25
ap-nttu,80:80:2c:35:76:38,26
ap-nttu,80:80:2c:35:78:b8,27
ap-nttu,80:80:2c:35:79:18,28
ap-nttu,80:80:2c:35:80:58,29
ap-nttu,80:80:2c:35:91:f8,30
ap-nttu,80:80:2c:35:96:18,31
ap-nttu,80:80:2c:35:9a:d8,32
ap-nttu,80:80:2c:35:a4:f8,33
ap-nttu,80:80:2c:35:ac:98,34
ap-nttu,80:80:2c:35:ae:f8,35
ap-nttu,80:80:2c:35:b4:d8,36
ap-nttu,80:80:2c:35:bd:38,37
ap-nttu,80:80:2c:35:bf:b8,38
ap-nttu,80:80:2c:35:c2:f8,39
ap-nttu,80:80:2c:35:d0:b8,40
ap-nttu,80:80:2c:35:d6:78,41
ap-nttu,80:80:2c:35:d6:98,42
ap-nttu,80:80:2c:35:d6:b8,43
ap-nttu,80:80:2c:36:2e:38,44
ap-nttu,80:80:2c:36:7d:38,45
ap-nttu,80:80:2c:36:7e:98,46
ap-nttu,80:80:2c:36:8c:38,47
ap-nttu,80:80:2c:36:c0:f8,48
ap-nttu,80:80:2c:36:cb:f8,49
ap-nttu,80:80:2c:36:de:b8,50
ap-nttu,80:80:2c:36:e8:78,51
ap-nttu,80:80:2c:36:e9:b8,52
ap-nttu,80:80:2c:37:11:58,53
ap-nttu,80:80:2c:37:1f:98,54
ap-nttu,80:80:2c:37:21:58,55
ap-nttu,80:80:2c:37:36:78,56
ap-nttu,90:6c:ac:03:5e:bb,57
ap-nttu,90:6c:ac:2c:74:e9,58
ap-nttu,90:6c:ac:2c:74:fb,59
ap-nttu,90:6c:ac:2c:75:9d,60
ap-nttu,90:6c:ac:2c:88:87,61
ap-nttu,90:6c:ac:2c:8c:1d,62
ap-nttu,90:6c:ac:2c:8c:53,63
ap-nttu,90:6c:ac:2c:98:87,64
ap-nttu,90:6c:ac:2c:9e:03,65
ap-nttu,90:6c:ac:2c:9e:0b,66
ap-nttu,90:6c:ac:2c:9e:27,67
ap-nttu,90:6c:ac:2c:9e:c9,68
ap-nttu,90:6c:ac:2c:9f:e9,69
ap-nttu,90:6c:ac:2c:9f:f1,70
ap-nttu,90:6c:ac:5d:c2:c3,71
ap-nttu,90:6c:ac:7d:d7:79,72
ap-nttu,90:6c:ac:7e:74:8d,73
ap-nttu,90:6c:ac:7e:7a:2d,74
ap-nttu,90:6c:ac:92:87:5d,75
ap-nttu,94:ff:3c:bf:ac:30,76
ap-nttu,94:ff:3c:bf:c3:f0,77
ap-nttu,94:ff:3c:bf:ce:70,78
ap-nttu,94:ff:3c:bf:f3:30,79
ap-nttu,94:ff:3c:bf:f3:b0,80
ap-nttu,94:ff:3c:bf:f4:90,81
ap-nttu,94:ff:3c:c0:25:50,82
ap-nttu,94:ff:3c:c0:75:d0,83
ap-nttu,94:ff:3c:c0:7a:30,84
ap-nttu,94:ff:3c:c0:7f:f0,85
ap-nttu,94:ff:3c:c0:8f:b0,86
ap-nttu,94:ff:3c:c0:92:b0,87
ap-nttu,94:ff:3c:c0:95:f0,88
ap-nttu,94:ff:3c:c0:9b:70,89
ap-nttu,94:ff:3c:c0:9c:70,90
ap-nttu,94:ff:3c:c0:9e:70,91
ap-nttu,94:ff:3c:c0:a3:d0,92
ap-nttu,ac:71:2e:c5:73:38,93
ap-nttu,ac:71:2e:c5:77:98,94
ap-nttu,ac:71:2e:c5:78:18,95
ap-nttu,ac:71:2e:c5:7a:58,96
ap-nttu,ac:71:2e:c5:8b:b8,97
ap-nttu,ac:71:2e:c5:90:98,98
ap-nttu,ac:71:2e:c5:94:18,99
ap-nttu,ac:71:2e:c5:95:38,100
ap-nttu,ac:71:2e:c5:a1:38,101
ap-nttu,ac:71:2e:c5:a1:58,102
ap-nttu,ac:71:2e:c5:b9:98,103
ap-nttu,ac:71:2e:c5:fc:78,104
ap-nttu,ac:71:2e:c5:ff:18,105
ap-nttu,ac:71:2e:c5:ff:38,106
ap-nttu,ac:71:2e:c6:06:38,107
ap-nttu,ac:71:2e:c6:06:58,108
ap-nttu,ac:71:2e:c6:06:98,109
ap-nttu,ac:71:2e:c6:18:b8,110
ap-nttu,ac:71:2e:c6:20:b8,111
ap-nttu,ac:71:2e:c6:29:38,112
ap-nttu,ac:71:2e:c6:2e:f8,113
ap-nttu,ac:71:2e:c6:2f:78,114
ap-nttu,ac:71:2e:c6:2f:f8,115
ap-nttu,ac:71:2e:c6:34:78,116
ap-nttu,ac:71:2e:c6:34:f8,117
ap-nttu,ac:71:2e:c6:35:58,118
ap-nttu,ac:71:2e:c6:43:18,119
ap-nttu,ac:71:2e:c6:43:58,120
ap-nttu,ac:71:2e:c6:44:58,121
ap-nttu,e8:ed:d6:80:76:98,122
ap-nttu,e8:ed:d6:81:06:d8,123
ap-nttu,e8:ed:d6:81:5e:98,124
ap-nttu,e8:ed:d6:81:79:b8,125
ap2-nttu,1a:5b:0e:0f:c1:b3,126
ap2-nttu,48:3a:02:00:ac:49,127
ap2-nttu,48:3a:02:00:ac:51,128
ap2-nttu,48:3a:02:00:b0:e9,129
ap2-nttu,48:3a:02:01:2e:11,130
ap2-nttu,48:3a:02:01:4e:31,131
ap2-nttu,48:3a:02:13:df:d1,132
ap2-nttu,48:3a:02:14:2b:51,133
ap2-nttu,48:3a:02:14:2f:c9,134
ap2-nttu,48:3a:02:14:2f:d1,135
ap2-nttu,48:3a:02:14:38:c9,136
ap2-nttu,48:3a:02:14:3e:09,137
ap2-nttu,48:3a:02:14:3e:11,138
ap2-nttu,48:3a:02:14:76:11,139
ap2-nttu,74:78:a6:00:e2:71,140
ap2-nttu,74:78:a6:00:ef:31,141
ap2-nttu,80:80:2c:34:db:59,142
ap2-nttu,80:80:2c:34:e2:39,143
ap2-nttu,80:80:2c:34:e2:f9,144
ap2-nttu,80:80:2c:34:e7:f9,145
ap2-nttu,80:80:2c:34:e8:59,146
ap2-nttu,80:80:2c:34:e9:79,147
ap2-nttu,80:80:2c:34:ea:79,148
ap2-nttu,80:80:2c:34:eb:19,149
ap2-nttu,80:80:2c:35:55:99,150
ap2-nttu,80:80:2c:35:55:b9,151
ap2-nttu,80:80:2c:35:76:39,152
ap2-nttu,80:80:2c:35:78:b9,153
ap2-nttu,80:80:2c:35:79:19,154
ap2-nttu,80:80:2c:35:80:59,155
ap2-nttu,80:80:2c:35:91:f9,156
ap2-nttu,80:80:2c:35:96:19,157
ap2-nttu,80:80:2c:35:9a:d9,158
ap2-nttu,80:80:2c:35:a4:f9,159
ap2-nttu,80:80:2c:35:ac:99,160
ap2-nttu,80:80:2c:35:ae:f9,161
ap2-nttu,80:80:2c:35:b4:d9,162
ap2-nttu,80:80:2c:35:bd:39,163
ap2-nttu,80:80:2c:35:bf:b9,164
ap2-nttu,80:80:2c:35:c2:f9,165
ap2-nttu,80:80:2c:35:d0:b9,166
ap2-nttu,80:80:2c:35:d6:79,167
ap2-nttu,80:80:2c:35:d6:99,168
ap2-nttu,80:80:2c:35:d6:b9,169
ap2-nttu,80:80:2c:36:2e:39,170
ap2-nttu,80:80:2c:36:7d:39,171
ap2-nttu,80:80:2c:36:7e:99,172
