ssid,bssid,index
ap-nttu,04:d5:90:2a:76:a0,0
ap-nttu,04:d5:90:2a:79:a0,1
ap-nttu,04:d5:90:2a:b1:08,2
ap-nttu,08:5b:0e:0f:c1:b3,3
ap-nttu,48:3a:02:00:ac:48,4
ap-nttu,48:3a:02:00:ac:50,5
ap-nttu,48:3a:02:00:b0:e8,6
ap-nttu,48:3a:02:01:2e:10,7
ap-nttu,48:3a:02:01:4e:30,8
ap-nttu,48:3a:02:13:df:d0,9
ap-nttu,48:3a:02:14:2b:50,10
ap-nttu,48:3a:02:14:2d:10,11
ap-nttu,48:3a:02:14:2f:d0,12
ap-nttu,48:3a:02:14:38:c8,13
ap-nttu,48:3a:02:14:3e:08,14
ap-nttu,48:3a:02:14:3e:10,15
ap-nttu,48:3a:02:14:76:10,16
ap-nttu,74:78:a6:00:e2:70,17
ap-nttu,74:78:a6:00:ef:30,18
ap-nttu,80:80:2c:34:db:58,19
ap-nttu,80:80:2c:34:e2:38,20
ap-nttu,80:80:2c:34:e2:f8,21
ap-nttu,80:80:2c:34:e7:f8,22
ap-nttu,80:80:2c:34:e8:58,23
ap-nttu,80:80:2c:34:e9:78,24
ap-nttu,80:80:2c:34:ea:78,25
ap-nttu,80:80:2c:34:eb:18,26
ap-nttu,80:80:2c:35:55:98,27
ap-nttu,80:80:2c:35:55:b8,28
ap-nttu,80:80:2c:35:76:38,29
ap-nttu,80:80:2c:35:78:b8,30
ap-nttu,80:80:2c:35:79:18,31
ap-nttu,80:80:2c:35:80:58,32
ap-nttu,80:80:2c:35:91:f8,33
ap-nttu,80:80:2c:35:96:18,34
ap-nttu,80:80:2c:35:9a:d8,35
ap-nttu,80:80:2c:35:a4:f8,36
ap-nttu,80:80:2c:35:ac:98,37
ap-nttu,80:80:2c:35:ae:f8,38
ap-nttu,80:80:2c:35:b4:d8,39
ap-nttu,80:80:2c:35:bd:38,40
ap-nttu,80:80:2c:35:bf:b8,41
ap-nttu,80:80:2c:35:c2:f8,42
ap-nttu,80:80:2c:35:d0:b8,43
ap-nttu,80:80:2c:35:d6:78,44
ap-nttu,80:80:2c:35:d6:98,45
ap-nttu,80:80:2c:35:d6:b8,46
ap-nttu,80:80:2c:36:2e:38,47
ap-nttu,80:80:2c:36:7d:38,48
ap-nttu,80:80:2c:36:7e:98,49
ap-nttu,80:80:2c:36:8c:38,50
ap-nttu,80:80:2c:36:c0:f8,51
ap-nttu,80:80:2c:36:cb:f8,52
ap-nttu,80:80:2c:36:de:b8,53
ap-nttu,80:80:2c:36:e8:78,54
ap-nttu,80:80:2c:36:e9:b8,55
ap-nttu,80:80:2c:37:11:58,56
ap-nttu,80:80:2c:37:1f:98,57
ap-nttu,80:80:2c:37:21:58,58
ap-nttu,80:80:2c:37:36:78,59
ap-nttu,90:6c:ac:03:5e:bb,60
ap-nttu,90:6c:ac:2c:74:e9,61
ap-nttu,90:6c:ac:2c:74:fb,62
ap-nttu,90:6c:ac:2c:75:9d,63
ap-nttu,90:6c:ac:2c:88:87,64
ap-nttu,90:6c:ac:2c:8c:1d,65
ap-nttu,90:6c:ac:2c:8c:53,66
ap-nttu,90:6c:ac:2c:93:f5,67
ap-nttu,90:6c:ac:2c:93:fd,68
ap-nttu,90:6c:ac:2c:98:87,69
ap-nttu,90:6c:ac:2c:9e:03,70
ap-nttu,90:6c:ac:2c:9e:0b,71
ap-nttu,90:6c:ac:2c:9e:27,72
ap-nttu,90:6c:ac:2c:9e:c9,73
ap-nttu,90:6c:ac:2c:9f:e9,74
ap-nttu,90:6c:ac:2c:9f:f1,75
ap-nttu,90:6c:ac:5d:c2:c3,76
ap-nttu,90:6c:ac:7d:d7:79,77
ap-nttu,90:6c:ac:7e:74:8d,78
ap-nttu,90:6c:ac:7e:7a:2d,79
ap-nttu,90:6c:ac:92:87:5d,80
ap-nttu,94:ff:3c:bf:ac:30,81
ap-nttu,94:ff:3c:bf:c3:f0,82
ap-nttu,94:ff:3c:bf:ce:70,83
ap-nttu,94:ff:3c:bf:f3:30,84
ap-nttu,94:ff:3c:bf:f3:b0,85
ap-nttu,94:ff:3c:bf:f4:90,86
ap-nttu,94:ff:3c:c0:25:50,87
ap-nttu,94:ff:3c:c0:75:d0,88
ap-nttu,94:ff:3c:c0:7a:30,89
ap-nttu,94:ff:3c:c0:7f:f0,90
ap-nttu,94:ff:3c:c0:8f:b0,91
ap-nttu,94:ff:3c:c0:92:b0,92
ap-nttu,94:ff:3c:c0:95:f0,93
ap-nttu,94:ff:3c:c0:9b:70,94
ap-nttu,94:ff:3c:c0:9c:70,95
ap-nttu,94:ff:3c:c0:9e:70,96
ap-nttu,94:ff:3c:c0:a3:d0,97
ap-nttu,ac:71:2e:c5:73:38,98
ap-nttu,ac:71:2e:c5:77:98,99
ap-nttu,ac:71:2e:c5:78:18,100
ap-nttu,ac:71:2e:c5:7a:58,101
ap-nttu,ac:71:2e:c5:8b:b8,102
ap-nttu,ac:71:2e:c5:90:98,103
ap-nttu,ac:71:2e:c5:94:18,104
ap-nttu,ac:71:2e:c5:95:38,105
ap-nttu,ac:71:2e:c5:a1:38,106
ap-nttu,ac:71:2e:c5:a1:58,107
ap-nttu,ac:71:2e:c5:b9:98,108
ap-nttu,ac:71:2e:c5:fc:78,109
ap-nttu,ac:71:2e:c5:ff:18,110
ap-nttu,ac:71:2e:c5:ff:38,111
ap-nttu,ac:71:2e:c6:06:38,112
ap-nttu,ac:71:2e:c6:06:58,113
ap-nttu,ac:71:2e:c6:06:98,114
ap-nttu,ac:71:2e:c6:18:b8,115
ap-nttu,ac:71:2e:c6:20:b8,116
ap-nttu,ac:71:2e:c6:29:38,117
ap-nttu,ac:71:2e:c6:2e:f8,118
ap-nttu,ac:71:2e:c6:2f:78,119
ap-nttu,ac:71:2e:c6:2f:f8,120
ap-nttu,ac:71:2e:c6:34:78,121
ap-nttu,ac:71:2e:c6:34:f8,122
ap-nttu,ac:71:2e:c6:35:58,123
ap-nttu,ac:71:2e:c6:43:18,124
ap-nttu,ac:71:2e:c6:43:58,125
ap-nttu,ac:71:2e:c6:44:58,126
ap-nttu,e8:ed:d6:7f:3f:18,127
ap-nttu,e8:ed:d6:80:76:98,128
ap-nttu,e8:ed:d6:80:ef:78,129
ap-nttu,e8:ed:d6:81:06:d8,130
ap-nttu,e8:ed:d6:81:5e:98,131
ap-nttu,e8:ed:d6:81:79:b8,132
ap2-nttu,04:d5:90:2a:76:a1,133
ap2-nttu,04:d5:90:2a:79:a1,134
ap2-nttu,04:d5:90:2a:b1:09,135
ap2-nttu,1a:5b:0e:0f:c1:b3,136
ap2-nttu,48:3a:02:00:ac:49,137
ap2-nttu,48:3a:02:00:ac:51,138
ap2-nttu,48:3a:02:00:b0:e9,139
ap2-nttu,48:3a:02:01:2e:11,140
ap2-nttu,48:3a:02:01:4e:31,141
ap2-nttu,48:3a:02:13:df:d1,142
ap2-nttu,48:3a:02:14:2b:51,143
ap2-nttu,48:3a:02:14:2f:c9,144
ap2-nttu,48:3a:02:14:2f:d1,145
ap2-nttu,48:3a:02:14:38:c9,146
ap2-nttu,48:3a:02:14:3e:09,147
ap2-nttu,48:3a:02:14:3e:11,148
ap2-nttu,48:3a:02:14:76:11,149
ap2-nttu,74:78:a6:00:e2:71,150
ap2-nttu,74:78:a6:00:ef:31,151
ap2-nttu,80:80:2c:34:db:59,152
ap2-nttu,80:80:2c:34:e2:39,153
ap2-nttu,80:80:2c:34:e2:f9,154
ap2-nttu,80:80:2c:34:e7:f9,155
ap2-nttu,80:80:2c:34:e8:59,156
ap2-nttu,80:80:2c:34:e9:79,157
ap2-nttu,80:80:2c:34:ea:79,158
ap2-nttu,80:80:2c:34:eb:19,159
ap2-nttu,80:80:2c:35:55:99,160
ap2-nttu,80:80:2c:35:55:b9,161
ap2-nttu,80:80:2c:35:76:39,162
ap2-nttu,80:80:2c:35:78:b9,163
ap2-nttu,80:80:2c:35:79:19,164
ap2-nttu,80:80:2c:35:80:59,165
ap2-nttu,80:80:2c:35:91:f9,166
ap2-nttu,80:80:2c:35:96:19,167
ap2-nttu,80:80:2c:35:9a:d9,168
ap2-nttu,80:80:2c:35:a4:f9,169
ap2-nttu,80:80:2c:35:ac:99,170
ap2-nttu,80:80:2c:35:ae:f9,171
ap2-nttu,80:80:2c:35:b4:d9,172
ap2-nttu,80:80:2c:35:bd:39,173
ap2-nttu,80:80:2c:35:bf:b9,174
ap2-nttu,80:80:2c:35:c2:f9,175
ap2-nttu,80:80:2c:35:d0:b9,176
ap2-nttu,80:80:2c:35:d6:79,177
ap2-nttu,80:80:2c:35:d6:99,178
ap2-nttu,80:80:2c:35:d6:b9,179
ap2-nttu,80:80:2c:36:2e:39,180
ap2-nttu,80:80:2c:36:7d:39,181
ap2-nttu,80:80:2c:36:7e:99,182
ap2-nttu,80:80:2c:36:8c:39,183
ap2-nttu,80:80:2c:36:c0:f9,184
ap2-nttu,80:80:2c:36:cb:f9,185
ap2-nttu,80:80:2c:36:de:b9,186
ap2-nttu,80:80:2c:36:e8:79,187
ap2-nttu,80:80:2c:36:e9:b9,188
ap2-nttu,80:80:2c:37:11:59,189
ap2-nttu,80:80:2c:37:1f:99,190
ap2-nttu,80:80:2c:37:21:59,191
ap2-nttu,80:80:2c:37:36:79,192
ap2-nttu,94:ff:3c:bf:ac:31,193
ap2-nttu,94:ff:3c:bf:c3:f1,194
ap2-nttu,94:ff:3c:bf:ce:71,195
ap2-nttu,94:ff:3c:bf:f3:31,196
ap2-nttu,94:ff:3c:bf:f3:b1,197
ap2-nttu,94:ff:3c:bf:f4:91,198
ap2-nttu,94:ff:3c:c0:25:51,199
ap2-nttu,94:ff:3c:c0:75:d1,200
ap2-nttu,94:ff:3c:c0:7a:31,201
ap2-nttu,94:ff:3c:c0:7f:f1,202
ap2-nttu,94:ff:3c:c0:8f:b1,203
ap2-nttu,94:ff:3c:c0:92:b1,204
ap2-nttu,94:ff:3c:c0:95:f1,205
ap2-nttu,94:ff:3c:c0:9b:71,206
ap2-nttu,94:ff:3c:c0:9c:71,207
ap2-nttu,94:ff:3c:c0:9e:71,208
ap2-nttu,94:ff:3c:c0:a3:d1,209
ap2-nttu,a2:6c:ac:03:5e:bb,210
ap2-nttu,a2:6c:ac:2c:74:e9,211
ap2-nttu,a2:6c:ac:2c:74:fb,212
ap2-nttu,a2:6c:ac:2c:75:9d,213
ap2-nttu,a2:6c:ac:2c:88:87,214
ap2-nttu,a2:6c:ac:2c:8c:1d,215
ap2-nttu,a2:6c:ac:2c:8c:53,216
ap2-nttu,a2:6c:ac:2c:93:fd,217
ap2-nttu,a2:6c:ac:2c:98:87,218
ap2-nttu,a2:6c:ac:2c:9e:03,219
ap2-nttu,a2:6c:ac:2c:9e:0b,220
ap2-nttu,a2:6c:ac:2c:9e:27,221
ap2-nttu,a2:6c:ac:2c:9e:c9,222
ap2-nttu,a2:6c:ac:2c:9f:e9,223
ap2-nttu,a2:6c:ac:2c:9f:f1,224
ap2-nttu,a2:6c:ac:5d:c2:c3,225
ap2-nttu,a2:6c:ac:7d:d7:79,226
ap2-nttu,a2:6c:ac:7e:74:8d,227
ap2-nttu,a2:6c:ac:7e:7a:2d,228
ap2-nttu,a2:6c:ac:92:84:61,229
ap2-nttu,a2:6c:ac:92:87:5d,230
ap2-nttu,ac:71:2e:c5:73:39,231
ap2-nttu,ac:71:2e:c5:77:99,232
ap2-nttu,ac:71:2e:c5:78:19,233
ap2-nttu,ac:71:2e:c5:7a:59,234
ap2-nttu,ac:71:2e:c5:8b:b9,235
ap2-nttu,ac:71:2e:c5:90:99,236
ap2-nttu,ac:71:2e:c5:94:19,237
ap2-nttu,ac:71:2e:c5:95:39,238
ap2-nttu,ac:71:2e:c5:a1:39,239
ap2-nttu,ac:71:2e:c5:a1:59,240
ap2-nttu,ac:71:2e:c5:b9:99,241
ap2-nttu,ac:71:2e:c5:fc:79,242
ap2-nttu,ac:71:2e:c5:ff:19,243
ap2-nttu,ac:71:2e:c5:ff:39,244
ap2-nttu,ac:71:2e:c6:06:39,245
ap2-nttu,ac:71:2e:c6:06:59,246
ap2-nttu,ac:71:2e:c6:06:99,247
ap2-nttu,ac:71:2e:c6:18:b9,248
ap2-nttu,ac:71:2e:c6:20:b9,249
ap2-nttu,ac:71:2e:c6:29:39,250
ap2-nttu,ac:71:2e:c6:2e:f9,251
ap2-nttu,ac:71:2e:c6:2f:79,252
ap2-nttu,ac:71:2e:c6:2f:f9,253
ap2-nttu,ac:71:2e:c6:34:79,254
ap2-nttu,ac:71:2e:c6:34:f9,255
ap2-nttu,ac:71:2e:c6:35:59,256
ap2-nttu,ac:71:2e:c6:43:19,257
ap2-nttu,ac:71:2e:c6:43:59,258
ap2-nttu,ac:71:2e:c6:44:59,259
ap2-nttu,e8:ed:d6:7f:3f:19,260
ap2-nttu,e8:ed:d6:80:76:99,261
ap2-nttu,e8:ed:d6:80:ef:79,262
ap2-nttu,e8:ed:d6:81:06:d9,263
ap2-nttu,e8:ed:d6:81:5e:99,264
ap2-nttu,e8:ed:d6:81:79:b9,265
eduroam,04:d5:90:2a:76:a2,266
eduroam,04:d5:90:2a:79:a2,267
eduroam,04:d5:90:2a:b1:0a,268
eduroam,2a:5b:0e:0f:c1:b3,269
eduroam,48:3a:02:00:ac:4a,270
eduroam,48:3a:02:00:ac:52,271
eduroam,48:3a:02:00:b0:ea,272
eduroam,48:3a:02:01:2e:12,273
eduroam,48:3a:02:01:4e:32,274
eduroam,48:3a:02:13:df:d2,275
eduroam,48:3a:02:14:2b:52,276
eduroam,48:3a:02:14:2f:ca,277
eduroam,48:3a:02:14:2f:d2,278
eduroam,48:3a:02:14:38:ca,279
eduroam,48:3a:02:14:3e:0a,280
eduroam,48:3a:02:14:3e:12,281
eduroam,48:3a:02:14:76:12,282
eduroam,74:78:a6:00:e2:72,283
eduroam,74:78:a6:00:ef:32,284
eduroam,80:80:2c:34:db:5a,285
eduroam,80:80:2c:34:e2:3a,286
eduroam,80:80:2c:34:e2:fa,287
eduroam,80:80:2c:34:e7:fa,288
eduroam,80:80:2c:34:e8:5a,289
eduroam,80:80:2c:34:e9:7a,290
eduroam,80:80:2c:34:ea:7a,291
eduroam,80:80:2c:34:eb:1a,292
eduroam,80:80:2c:35:55:9a,293
eduroam,80:80:2c:35:55:ba,294
eduroam,80:80:2c:35:76:3a,295
eduroam,80:80:2c:35:78:ba,296
eduroam,80:80:2c:35:79:1a,297
eduroam,80:80:2c:35:80:5a,298
eduroam,80:80:2c:35:91:fa,299
eduroam,80:80:2c:35:96:1a,300
eduroam,80:80:2c:35:9a:da,301
eduroam,80:80:2c:35:a4:fa,302
eduroam,80:80:2c:35:ac:9a,303
eduroam,80:80:2c:35:ae:fa,304
eduroam,80:80:2c:35:b4:da,305
eduroam,80:80:2c:35:bd:3a,306
eduroam,80:80:2c:35:bf:ba,307
eduroam,80:80:2c:35:c2:fa,308
eduroam,80:80:2c:35:d0:ba,309
eduroam,80:80:2c:35:d6:7a,310
eduroam,80:80:2c:35:d6:9a,311
eduroam,80:80:2c:35:d6:ba,312
eduroam,80:80:2c:36:2e:3a,313
eduroam,80:80:2c:36:7d:3a,314
eduroam,80:80:2c:36:7e:9a,315
eduroam,80:80:2c:36:8c:3a,316
eduroam,80:80:2c:36:c0:fa,317
eduroam,80:80:2c:36:cb:fa,318
eduroam,80:80:2c:36:de:ba,319
eduroam,80:80:2c:36:e8:7a,320
eduroam,80:80:2c:36:e9:ba,321
eduroam,80:80:2c:37:11:5a,322
eduroam,80:80:2c:37:1f:9a,323
eduroam,80:80:2c:37:21:5a,324
eduroam,80:80:2c:37:36:7a,325
eduroam,94:ff:3c:bf:ac:32,326
eduroam,94:ff:3c:bf:c3:f2,327
eduroam,94:ff:3c:bf:ce:72,328
eduroam,94:ff:3c:bf:f3:32,329
eduroam,94:ff:3c:bf:f3:b2,330
eduroam,94:ff:3c:bf:f4:92,331
eduroam,94:ff:3c:c0:25:52,332
eduroam,94:ff:3c:c0:75:d2,333
eduroam,94:ff:3c:c0:7a:32,334
eduroam,94:ff:3c:c0:7f:f2,335
eduroam,94:ff:3c:c0:8f:b2,336
eduroam,94:ff:3c:c0:92:b2,337
eduroam,94:ff:3c:c0:95:f2,338
eduroam,94:ff:3c:c0:9b:72,339
eduroam,94:ff:3c:c0:9c:72,340
eduroam,94:ff:3c:c0:9e:72,341
eduroam,94:ff:3c:c0:a3:d2,342
eduroam,ac:71:2e:c5:73:3a,343
eduroam,ac:71:2e:c5:77:9a,344
eduroam,ac:71:2e:c5:78:1a,345
eduroam,ac:71:2e:c5:7a:5a,346
eduroam,ac:71:2e:c5:8b:ba,347
eduroam,ac:71:2e:c5:90:9a,348
eduroam,ac:71:2e:c5:94:1a,349
eduroam,ac:71:2e:c5:95:3a,350
eduroam,ac:71:2e:c5:a1:3a,351
eduroam,ac:71:2e:c5:a1:5a,352
eduroam,ac:71:2e:c5:b9:9a,353
eduroam,ac:71:2e:c5:fc:7a,354
eduroam,ac:71:2e:c5:ff:1a,355
eduroam,ac:71:2e:c5:ff:3a,356
eduroam,ac:71:2e:c6:06:3a,357
eduroam,ac:71:2e:c6:06:5a,358
eduroam,ac:71:2e:c6:06:9a,359
eduroam,ac:71:2e:c6:18:ba,360
eduroam,ac:71:2e:c6:20:ba,361
eduroam,ac:71:2e:c6:29:3a,362
eduroam,ac:71:2e:c6:2e:fa,363
eduroam,ac:71:2e:c6:2f:7a,364
eduroam,ac:71:2e:c6:2f:fa,365
eduroam,ac:71:2e:c6:34:7a,366
eduroam,ac:71:2e:c6:34:fa,367
eduroam,ac:71:2e:c6:35:5a,368
