ssid,bssid,index
ap-nttu,48:3a:02:00:ac:50,0
ap-nttu,48:3a:02:01:2e:10,1
ap-nttu,48:3a:02:13:df:d0,2
ap-nttu,48:3a:02:14:2b:50,3
ap-nttu,80:80:2c:34:db:58,4
ap-nttu,80:80:2c:34:e2:38,5
ap-nttu,80:80:2c:34:e2:f8,6
ap-nttu,80:80:2c:34:e7:f8,7
ap-nttu,80:80:2c:34:e8:58,8
ap-nttu,80:80:2c:34:e9:78,9
ap-nttu,80:80:2c:34:ea:78,10
ap-nttu,80:80:2c:34:eb:18,11
ap-nttu,80:80:2c:35:55:98,12
ap-nttu,80:80:2c:35:55:b8,13
ap-nttu,80:80:2c:35:76:38,14
ap-nttu,80:80:2c:35:78:b8,15
ap-nttu,80:80:2c:35:79:18,16
ap-nttu,80:80:2c:35:80:58,17
ap-nttu,80:80:2c:35:91:f8,18
ap-nttu,80:80:2c:35:96:18,19
ap-nttu,80:80:2c:35:a4:f8,20
ap-nttu,80:80:2c:35:ac:98,21
ap-nttu,80:80:2c:35:ae:f8,22
ap-nttu,80:80:2c:35:b4:d8,23
ap-nttu,80:80:2c:35:bd:38,24
ap-nttu,80:80:2c:35:bf:b8,25
ap-nttu,80:80:2c:35:c2:f8,26
ap-nttu,80:80:2c:35:d0:b8,27
ap-nttu,80:80:2c:35:d6:78,28
ap-nttu,80:80:2c:35:d6:98,29
ap-nttu,80:80:2c:35:d6:b8,30
ap-nttu,80:80:2c:36:7d:38,31
ap-nttu,80:80:2c:36:7e:98,32
ap-nttu,80:80:2c:36:8c:38,33
ap-nttu,80:80:2c:36:c0:f8,34
ap-nttu,80:80:2c:36:cb:f8,35
ap-nttu,80:80:2c:36:de:b8,36
ap-nttu,80:80:2c:36:e8:78,37
ap-nttu,80:80:2c:36:e9:b8,38
ap-nttu,80:80:2c:37:11:58,39
ap-nttu,80:80:2c:37:1f:98,40
ap-nttu,80:80:2c:37:21:58,41
ap-nttu,80:80:2c:37:36:78,42
ap-nttu,90:6c:ac:2c:9e:27,43
ap-nttu,90:6c:ac:2c:9e:c9,44
ap-nttu,90:6c:ac:2c:9f:e9,45
ap-nttu,90:6c:ac:5d:c2:c3,46
ap-nttu,90:6c:ac:7d:d7:79,47
ap-nttu,90:6c:ac:7e:7a:2d,48
ap-nttu,94:ff:3c:bf:ac:30,49
ap-nttu,94:ff:3c:bf:c3:f0,50
ap-nttu,94:ff:3c:bf:ce:70,51
ap-nttu,94:ff:3c:bf:f3:30,52
ap-nttu,94:ff:3c:bf:f3:b0,53
ap-nttu,94:ff:3c:bf:f4:90,54
ap-nttu,94:ff:3c:c0:25:50,55
ap-nttu,94:ff:3c:c0:75:d0,56
ap-nttu,94:ff:3c:c0:7a:30,57
ap-nttu,94:ff:3c:c0:7f:f0,58
ap-nttu,94:ff:3c:c0:8f:b0,59
ap-nttu,94:ff:3c:c0:92:b0,60
ap-nttu,94:ff:3c:c0:95:f0,61
ap-nttu,94:ff:3c:c0:9b:70,62
ap-nttu,94:ff:3c:c0:9c:70,63
ap-nttu,94:ff:3c:c0:9e:70,64
ap-nttu,94:ff:3c:c0:a3:d0,65
ap-nttu,ac:71:2e:c5:73:38,66
ap-nttu,ac:71:2e:c5:77:98,67
ap-nttu,ac:71:2e:c5:78:18,68
ap-nttu,ac:71:2e:c5:7a:58,69
ap-nttu,ac:71:2e:c5:8b:b8,70
ap-nttu,ac:71:2e:c5:90:98,71
ap-nttu,ac:71:2e:c5:94:18,72
ap-nttu,ac:71:2e:c5:95:38,73
ap-nttu,ac:71:2e:c5:a1:38,74
ap-nttu,ac:71:2e:c5:a1:58,75
ap-nttu,ac:71:2e:c5:b9:98,76
ap-nttu,ac:71:2e:c5:fc:78,77
ap-nttu,ac:71:2e:c5:ff:18,78
ap-nttu,ac:71:2e:c5:ff:38,79
ap-nttu,ac:71:2e:c6:06:38,80
ap-nttu,ac:71:2e:c6:06:58,81
ap-nttu,ac:71:2e:c6:06:98,82
ap-nttu,ac:71:2e:c6:18:b8,83
ap-nttu,ac:71:2e:c6:20:b8,84
ap-nttu,ac:71:2e:c6:29:38,85
ap-nttu,ac:71:2e:c6:2e:f8,86
ap-nttu,ac:71:2e:c6:2f:78,87
ap-nttu,ac:71:2e:c6:2f:f8,88
ap-nttu,ac:71:2e:c6:34:78,89
ap-nttu,ac:71:2e:c6:34:f8,90
ap-nttu,ac:71:2e:c6:35:58,91
ap-nttu,ac:71:2e:c6:43:18,92
ap-nttu,ac:71:2e:c6:43:58,93
ap-nttu,ac:71:2e:c6:44:58,94
ap-nttu,e8:ed:d6:80:76:98,95
ap-nttu,e8:ed:d6:81:79:b8,96
ap2-nttu,48:3a:02:00:ac:51,97
ap2-nttu,48:3a:02:01:2e:11,98
ap2-nttu,48:3a:02:13:df:d1,99
ap2-nttu,48:3a:02:14:2b:51,100
ap2-nttu,80:80:2c:34:db:59,101
ap2-nttu,80:80:2c:34:e2:39,102
ap2-nttu,80:80:2c:34:e2:f9,103
ap2-nttu,80:80:2c:34:e7:f9,104
ap2-nttu,80:80:2c:34:e8:59,105
ap2-nttu,80:80:2c:34:e9:79,106
ap2-nttu,80:80:2c:34:ea:79,107
ap2-nttu,80:80:2c:34:eb:19,108
ap2-nttu,80:80:2c:35:55:99,109
ap2-nttu,80:80:2c:35:55:b9,110
ap2-nttu,80:80:2c:35:76:39,111
ap2-nttu,80:80:2c:35:78:b9,112
ap2-nttu,80:80:2c:35:79:19,113
ap2-nttu,80:80:2c:35:80:59,114
ap2-nttu,80:80:2c:35:91:f9,115
ap2-nttu,80:80:2c:35:96:19,116
ap2-nttu,80:80:2c:35:a4:f9,117
ap2-nttu,80:80:2c:35:ac:99,118
ap2-nttu,80:80:2c:35:ae:f9,119
ap2-nttu,80:80:2c:35:b4:d9,120
ap2-nttu,80:80:2c:35:bd:39,121
ap2-nttu,80:80:2c:35:bf:b9,122
ap2-nttu,80:80:2c:35:c2:f9,123
ap2-nttu,80:80:2c:35:d0:b9,124
ap2-nttu,80:80:2c:35:d6:79,125
ap2-nttu,80:80:2c:35:d6:99,126
ap2-nttu,80:80:2c:35:d6:b9,127
ap2-nttu,80:80:2c:36:7d:39,128
ap2-nttu,80:80:2c:36:7e:99,129
ap2-nttu,80:80:2c:36:8c:39,130
ap2-nttu,80:80:2c:36:c0:f9,131
ap2-nttu,80:80:2c:36:cb:f9,132
ap2-nttu,80:80:2c:36:de:b9,133
ap2-nttu,80:80:2c:36:e8:79,134
ap2-nttu,80:80:2c:36:e9:b9,135
ap2-nttu,80:80:2c:37:11:59,136
ap2-nttu,80:80:2c:37:1f:99,137
ap2-nttu,80:80:2c:37:21:59,138
ap2-nttu,80:80:2c:37:36:79,139
ap2-nttu,94:ff:3c:bf:ac:31,140
ap2-nttu,94:ff:3c:bf:c3:f1,141
ap2-nttu,94:ff:3c:bf:ce:71,142
ap2-nttu,94:ff:3c:bf:f3:31,143
ap2-nttu,94:ff:3c:bf:f3:b1,144
ap2-nttu,94:ff:3c:bf:f4:91,145
ap2-nttu,94:ff:3c:c0:25:51,146
ap2-nttu,94:ff:3c:c0:75:d1,147
ap2-nttu,94:ff:3c:c0:7a:31,148
ap2-nttu,94:ff:3c:c0:7f:f1,149
ap2-nttu,94:ff:3c:c0:8f:b1,150
ap2-nttu,94:ff:3c:c0:92:b1,151
ap2-nttu,94:ff:3c:c0:95:f1,152
ap2-nttu,94:ff:3c:c0:9b:71,153
ap2-nttu,94:ff:3c:c0:9c:71,154
ap2-nttu,94:ff:3c:c0:9e:71,155
ap2-nttu,94:ff:3c:c0:a3:d1,156
ap2-nttu,a2:6c:ac:2c:9e:27,157
ap2-nttu,a2:6c:ac:2c:9e:c9,158
ap2-nttu,a2:6c:ac:2c:9f:e9,159
ap2-nttu,a2:6c:ac:5d:c2:c3,160
ap2-nttu,a2:6c:ac:7d:d7:79,161
ap2-nttu,a2:6c:ac:7e:7a:2d,162
ap2-nttu,ac:71:2e:c5:73:39,163
ap2-nttu,ac:71:2e:c5:77:99,164
ap2-nttu,ac:71:2e:c5:78:19,165
ap2-nttu,ac:71:2e:c5:7a:59,166
ap2-nttu,ac:71:2e:c5:8b:b9,167
ap2-nttu,ac:71:2e:c5:90:99,168
ap2-nttu,ac:71:2e:c5:94:19,169
ap2-nttu,ac:71:2e:c5:95:39,170
ap2-nttu,ac:71:2e:c5:a1:39,171
ap2-nttu,ac:71:2e:c5:a1:59,172
ap2-nttu,ac:71:2e:c5:b9:99,173
ap2-nttu,ac:71:2e:c5:fc:79,174
ap2-nttu,ac:71:2e:c5:ff:19,175
ap2-nttu,ac:71:2e:c5:ff:39,176
ap2-nttu,ac:71:2e:c6:06:39,177
ap2-nttu,ac:71:2e:c6:06:59,178
ap2-nttu,ac:71:2e:c6:06:99,179
ap2-nttu,ac:71:2e:c6:18:b9,180
ap2-nttu,ac:71:2e:c6:20:b9,181
ap2-nttu,ac:71:2e:c6:29:39,182
ap2-nttu,ac:71:2e:c6:2e:f9,183
ap2-nttu,ac:71:2e:c6:2f:79,184
ap2-nttu,ac:71:2e:c6:2f:f9,185
ap2-nttu,ac:71:2e:c6:34:79,186
ap2-nttu,ac:71:2e:c6:34:f9,187
ap2-nttu,ac:71:2e:c6:35:59,188
ap2-nttu,ac:71:2e:c6:43:19,189
ap2-nttu,ac:71:2e:c6:43:59,190
ap2-nttu,ac:71:2e:c6:44:59,191
ap2-nttu,e8:ed:d6:80:76:99,192
ap2-nttu,e8:ed:d6:81:79:b9,193
eduroam,48:3a:02:00:ac:52,194
eduroam,48:3a:02:01:2e:12,195
eduroam,48:3a:02:13:df:d2,196
eduroam,48:3a:02:14:2b:52,197
eduroam,80:80:2c:34:db:5a,198
eduroam,80:80:2c:34:e2:3a,199
eduroam,80:80:2c:34:e2:fa,200
eduroam,80:80:2c:34:e7:fa,201
eduroam,80:80:2c:34:e8:5a,202
eduroam,80:80:2c:34:e9:7a,203
eduroam,80:80:2c:34:ea:7a,204
eduroam,80:80:2c:34:eb:1a,205
eduroam,80:80:2c:35:55:9a,206
eduroam,80:80:2c:35:55:ba,207
eduroam,80:80:2c:35:76:3a,208
eduroam,80:80:2c:35:78:ba,209
eduroam,80:80:2c:35:79:1a,210
eduroam,80:80:2c:35:80:5a,211
eduroam,80:80:2c:35:91:fa,212
eduroam,80:80:2c:35:96:1a,213
eduroam,80:80:2c:35:a4:fa,214
eduroam,80:80:2c:35:ac:9a,215
eduroam,80:80:2c:35:ae:fa,216
eduroam,80:80:2c:35:b4:da,217
eduroam,80:80:2c:35:bd:3a,218
eduroam,80:80:2c:35:bf:ba,219
eduroam,80:80:2c:35:c2:fa,220
eduroam,80:80:2c:35:d0:ba,221
eduroam,80:80:2c:35:d6:7a,222
eduroam,80:80:2c:35:d6:9a,223
eduroam,80:80:2c:35:d6:ba,224
eduroam,80:80:2c:36:7d:3a,225
eduroam,80:80:2c:36:7e:9a,226
eduroam,80:80:2c:36:8c:3a,227
eduroam,80:80:2c:36:c0:fa,228
eduroam,80:80:2c:36:cb:fa,229
eduroam,80:80:2c:36:de:ba,230
eduroam,80:80:2c:36:e8:7a,231
eduroam,80:80:2c:36:e9:ba,232
eduroam,80:80:2c:37:11:5a,233
eduroam,80:80:2c:37:1f:9a,234
eduroam,80:80:2c:37:21:5a,235
eduroam,80:80:2c:37:36:7a,236
eduroam,94:ff:3c:bf:ac:32,237
eduroam,94:ff:3c:bf:c3:f2,238
eduroam,94:ff:3c:bf:ce:72,239
eduroam,94:ff:3c:bf:f3:32,240
eduroam,94:ff:3c:bf:f3:b2,241
eduroam,94:ff:3c:bf:f4:92,242
eduroam,94:ff:3c:c0:25:52,243
eduroam,94:ff:3c:c0:75:d2,244
eduroam,94:ff:3c:c0:7a:32,245
