ssid,bssid,index
ap-nttu,80:80:2c:34:db:58,0
ap-nttu,80:80:2c:34:e2:f8,1
ap-nttu,80:80:2c:34:e8:58,2
ap-nttu,80:80:2c:34:e9:78,3
ap-nttu,80:80:2c:34:eb:18,4
ap-nttu,80:80:2c:35:55:98,5
ap-nttu,80:80:2c:35:76:38,6
ap-nttu,80:80:2c:35:80:58,7
ap-nttu,80:80:2c:35:96:18,8
ap-nttu,80:80:2c:35:a4:f8,9
ap-nttu,80:80:2c:35:ac:98,10
ap-nttu,80:80:2c:35:ae:f8,11
ap-nttu,80:80:2c:35:b4:d8,12
ap-nttu,80:80:2c:35:bd:38,13
ap-nttu,80:80:2c:35:bf:b8,14
ap-nttu,80:80:2c:35:c2:f8,15
ap-nttu,80:80:2c:35:d0:b8,16
ap-nttu,80:80:2c:35:d6:78,17
ap-nttu,80:80:2c:35:d6:98,18
ap-nttu,80:80:2c:35:d6:b8,19
ap-nttu,80:80:2c:36:7d:38,20
ap-nttu,80:80:2c:36:7e:98,21
ap-nttu,80:80:2c:36:c0:f8,22
ap-nttu,80:80:2c:36:de:b8,23
ap-nttu,80:80:2c:36:e8:78,24
ap-nttu,80:80:2c:37:1f:98,25
ap-nttu,80:80:2c:37:21:58,26
ap-nttu,80:80:2c:37:36:78,27
ap-nttu,90:6c:ac:2c:9e:27,28
ap-nttu,90:6c:ac:2c:9e:c9,29
ap-nttu,90:6c:ac:2c:9f:e9,30
ap-nttu,90:6c:ac:5d:c2:c3,31
ap-nttu,90:6c:ac:7e:7a:2d,32
ap-nttu,94:ff:3c:bf:ac:30,33
ap-nttu,94:ff:3c:bf:c3:f0,34
ap-nttu,94:ff:3c:bf:ce:70,35
ap-nttu,94:ff:3c:bf:f3:30,36
ap-nttu,94:ff:3c:bf:f3:b0,37
ap-nttu,94:ff:3c:bf:f4:90,38
ap-nttu,94:ff:3c:c0:25:50,39
ap-nttu,94:ff:3c:c0:75:d0,40
ap-nttu,94:ff:3c:c0:7a:30,41
ap-nttu,94:ff:3c:c0:7f:f0,42
ap-nttu,94:ff:3c:c0:8f:b0,43
ap-nttu,94:ff:3c:c0:92:b0,44
ap-nttu,94:ff:3c:c0:95:f0,45
ap-nttu,94:ff:3c:c0:9b:70,46
ap-nttu,94:ff:3c:c0:9c:70,47
ap-nttu,94:ff:3c:c0:9e:70,48
ap-nttu,94:ff:3c:c0:a3:d0,49
ap-nttu,ac:71:2e:c5:73:38,50
ap-nttu,ac:71:2e:c5:77:98,51
ap-nttu,ac:71:2e:c5:78:18,52
ap-nttu,ac:71:2e:c5:7a:58,53
ap-nttu,ac:71:2e:c5:8b:b8,54
ap-nttu,ac:71:2e:c5:90:98,55
ap-nttu,ac:71:2e:c5:94:18,56
ap-nttu,ac:71:2e:c5:95:38,57
ap-nttu,ac:71:2e:c5:a1:38,58
ap-nttu,ac:71:2e:c5:a1:58,59
ap-nttu,ac:71:2e:c5:b9:98,60
ap-nttu,ac:71:2e:c5:fc:78,61
ap-nttu,ac:71:2e:c5:ff:18,62
ap-nttu,ac:71:2e:c5:ff:38,63
ap-nttu,ac:71:2e:c6:06:38,64
ap-nttu,ac:71:2e:c6:06:58,65
ap-nttu,ac:71:2e:c6:06:98,66
ap-nttu,ac:71:2e:c6:18:b8,67
ap-nttu,ac:71:2e:c6:20:b8,68
ap-nttu,ac:71:2e:c6:29:38,69
ap-nttu,ac:71:2e:c6:2e:f8,70
ap-nttu,ac:71:2e:c6:2f:78,71
ap-nttu,ac:71:2e:c6:2f:f8,72
ap-nttu,ac:71:2e:c6:34:78,73
ap-nttu,ac:71:2e:c6:34:f8,74
ap-nttu,ac:71:2e:c6:35:58,75
ap-nttu,ac:71:2e:c6:43:18,76
ap-nttu,ac:71:2e:c6:43:58,77
ap-nttu,ac:71:2e:c6:44:58,78
ap-nttu,e8:ed:d6:80:76:98,79
ap2-nttu,80:80:2c:34:db:59,80
ap2-nttu,80:80:2c:34:e2:f9,81
ap2-nttu,80:80:2c:34:e8:59,82
ap2-nttu,80:80:2c:34:e9:79,83
ap2-nttu,80:80:2c:35:55:99,84
ap2-nttu,80:80:2c:35:76:39,85
ap2-nttu,80:80:2c:35:80:59,86
ap2-nttu,80:80:2c:35:96:19,87
ap2-nttu,80:80:2c:35:a4:f9,88
ap2-nttu,80:80:2c:35:ac:99,89
ap2-nttu,80:80:2c:35:ae:f9,90
ap2-nttu,80:80:2c:35:b4:d9,91
ap2-nttu,80:80:2c:35:bd:39,92
ap2-nttu,80:80:2c:35:bf:b9,93
ap2-nttu,80:80:2c:35:c2:f9,94
ap2-nttu,80:80:2c:35:d0:b9,95
ap2-nttu,80:80:2c:35:d6:79,96
ap2-nttu,80:80:2c:35:d6:99,97
ap2-nttu,80:80:2c:35:d6:b9,98
